Rank,Name,Address,Price,Rating,Cuisine,Coordinate
51,Brick Lane Melbourne,"33 Guildford Lane, Melbourne, Victoria 3000 Australia",2,4.5,"Caf¨¦, Vegetarian Friendly, Vegan Options","-37.811456545362155, 144.95985864349294"
52,B'Churrasco Brazilian BBQ,"61 A'Beckett St, Melbourne, Victoria 3000 Australia",3,4.5,"Brazilian, Gluten Free Options","-37.80910712707729, 144.961652911157"
53,Rare Steakhouse Downtown,"42-44 King St, Melbourne, Victoria 3000 Australia",3,4.5,"Steakhouse, Grill, Australian","-37.81910675043428, 144.95721190987928"
54,Coda,"141 Flinders Lane, Melbourne, Victoria 3000 Australia",4,4.5,"Asian, Contemporary, Australian","-37.815759374184026, 144.96990260164017"
55,1932 Cafe & Restaurant,"220 Collins St Manchester Unity Building, Melbourne, Victoria 3000 Australia",2,4.5,"Caf¨¦, Australian, Vegetarian Friendly","-37.81533628528716, 144.96630648610716"
56,Ciao Cielo,"115 Bay St Port Melbourne, Melbourne, Victoria 3207 Australia",2,4.5,"Italian, Vegetarian Friendly, Vegan Options","-37.84027541779278, 144.94033932954264"
57,The Hardware Societe,"10 Katherine Pl, Melbourne, Victoria 3000 Australia",2,4.5,"Caf¨¦, Australian, Vegetarian Friendly","-37.82002088833751, 144.95659910892996"
58,Rare Steakhouse Uptown,"61 Little Collins St Shop 6, Melbourne, Victoria 3000 Australia",3,4.5,"Steakhouse, Grill, Australian","-37.81311460381138, 144.9715907695212"
59,Movida Bar de Tapas,"1 Hosier Lane, Melbourne, Victoria 3000 Australia",2,4.5,"International, Mediterranean, Spanish","-37.81670820422326, 144.96914169835773"
60,Tonka,"20 Duckboard Pl, Melbourne, Victoria 3000 Australia",4,4.5,"Indian, Contemporary, Vegetarian Friendly","-37.815697090207166, 144.97138861515833"
